#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T21:46:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400f3a61a6e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/167/40&tab:{J/ApJS/167/40/catalog}&key:source=J/ApJS/167/40/catalog&HTTPPRM:&&-ref=VIZ5400f3a61a6e&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/167/40/catalog
#-order=I
#-out=S
#S=wd
#-out=SpClass
#-out=WD
#-out=SDSS
#-out=pm
#-out=pmPA
#-out=umag
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=Teff
#Sloan=SDSS
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21670040
#Name: J/ApJS/167/40
#Title: SDSS4 confirmed white dwarfs catalog (Eisenstein+, 2006)
#Table	J_ApJS_167_40_catalog:
#Name: J/ApJS/167/40/catalog
#Title: SDSS DR4 white dwarfs and hot subdwarfs {\em(tables 1 and 1c of catalog)}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	S	(A2)	{\bf wd} for white dwarfs, or {\bf sd} for subdwarfs	[ucd=src.class]
#Column	SpClass	(a12)	Spectral Classification	[ucd=spect.index]
#Column	WD	(a10)	McCook & Sion (1999, see Cat. III/235) WD catalog ID (as of 2005 August)	[ucd=meta.id]
#Column	SDSS	(a19)	The IAU name, JHHMMSS.ss+DDMMSS.s \linkRole{SDSS-DR4 photometric data} (3)	[ucd=meta.id;meta.main]
#Column	pm	(F7.1)	? Proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Proper-motion position angle, where 0 = north, 90 = east, etc	[ucd=pos.pm;pos.posAng]
#Column	umag	(F6.3)	? SDSS u-band PSF as observed magnitude	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F6.3)	? SDSS g-band PSF as observed magnitude	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band PSF as observed magnitude	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	Teff	(I6)	Autofit temperature	[ucd=phys.temperature]
#Column	RAJ2000	(F10.6)	Decimal degree right ascension (J2000) (4)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Decimal degree declination (J2000) (4)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	S	SpClass	WD	SDSS	pm	pmPA	umag	gmag	rmag	imag	zmag	Teff	RAJ2000	DEJ2000
162.687280	-00.791282	wd	DA          	          	J105044.94-004728.6	   10.7	  9.6	20.374	20.205	20.661	20.938	20.860	 18354	162.687280	-00.791282
162.716515	+50.977708	wd	DA_auto     	          	J105051.96+505839.7	   17.8	180.7	19.411	19.378	19.714	19.965	20.026	 19505	162.716515	+50.977708
162.758203	+01.140755	wd	DA          	1048+014  	J105101.96+010826.7	   13.2	359.2	17.192	17.557	18.029	18.377	18.683	 45860	162.758203	+01.140755
162.864096	+44.282525	wd	DA_auto     	          	J105127.38+441657.0	   23.8	236.2	20.059	19.809	20.027	20.296	20.224	 15000	162.864096	+44.282525
162.885276	+43.652835	wd	DA_auto     	          	J105132.46+433910.2	   68.5	216.8	18.765	18.494	18.749	19.007	19.257	 15613	162.885276	+43.652835
162.888948	+66.566968	wd	DA+M        	1048+668  	J105133.34+663401.0	   19.0	168.1	17.274	17.101	17.420	17.192	16.720	 18954	162.888948	+66.566968
162.902553	+50.134493	wd	DA_auto     	          	J105136.61+500804.1	  116.2	250.2	18.985	18.604	18.555	18.575	18.704	  8752	162.902553	+50.134493
162.936674	+04.141289	wd	DA_auto     	          	J105144.80+040828.6	   53.0	154.3	19.367	18.993	19.027	19.128	19.264	  9769	162.936674	+04.141289
162.946298	+40.961106	wd	DA_auto     	          	J105147.11+405739.9	   47.8	 98.0	19.150	18.753	18.769	18.892	19.057	  9781	162.946298	+40.961106
162.948220	+05.135090	wd	DA_auto     	          	J105147.57+050806.3	   16.4	242.5	19.859	19.434	19.654	19.881	20.212	 13027	162.948220	+05.135090
162.948884	+05.965470	wd	DA_auto     	          	J105147.73+055755.6	   16.4	136.3	20.216	19.752	20.012	20.252	20.257	 13714	162.948884	+05.965470
162.954586	+11.020207	wd	DB          	          	J105149.10+110112.7	   68.7	118.0	17.659	17.771	18.130	18.358	18.690	 19611	162.954586	+11.020207
162.989730	+07.565713	wd	DA_auto     	          	J105157.53+073356.5	   13.9	300.8	20.562	20.432	20.807	20.999	21.065	 17549	162.989730	+07.565713
163.024308	+47.205538	wd	DA_auto     	          	J105205.83+471219.9	   32.2	265.0	18.500	18.059	18.216	18.281	18.543	 10022	163.024308	+47.205538
163.029096	+52.947597	wd	DA_auto     	          	J105206.98+525651.3	    8.4	174.6	20.286	19.795	19.978	20.191	20.377	 12686	163.029096	+52.947597
163.036348	+57.270383	wd	DA_auto     	          	J105208.72+571613.3	    5.3	302.2	17.987	17.889	18.231	18.521	18.808	 19512	163.036348	+57.270383
163.066665	+53.022314	wd	DA_auto     	          	J105215.99+530120.3	   21.7	235.6	20.703	20.257	20.489	20.702	21.437	 12993	163.066665	+53.022314
163.089862	+06.987617	wd	DZ:         	          	J105221.56+065915.4	   24.7	135.0	19.606	19.464	19.623	19.788	20.175	 11481	163.089862	+06.987617
163.104610	+44.458987	wd	DA_auto     	          	J105225.10+442732.3	   34.8	276.9	19.827	19.402	19.612	19.813	20.074	 13211	163.104610	+44.458987
163.109811	+00.664850	wd	DA          	1049+009  	J105226.35+003953.4	       	     	19.906	19.740	20.033	20.266	20.665	 18771	163.109811	+00.664850
163.202489	+59.197332	wd	DQ:         	          	J105248.59+591150.3	   36.5	 64.9	18.595	18.318	18.296	18.379	18.453	 10084	163.202489	+59.197332
163.206007	+60.127869	wd	DA_auto     	          	J105249.44+600740.3	   64.9	107.9	19.964	19.672	19.994	20.279	20.467	 15259	163.206007	+60.127869
163.278426	+02.841094	wd	DA_auto     	          	J105306.82+025027.9	    4.3	328.8	19.346	18.975	19.182	19.370	19.589	 12943	163.278426	+02.841094
163.300386	+04.037148	wd	DA_auto     	          	J105312.09+040213.7	   32.0	138.6	19.795	19.253	19.167	19.135	19.220	  8343	163.300386	+04.037148
163.308673	-00.426038	wd	DC          	          	J105314.08-002533.7	   34.7	268.2	19.931	19.889	19.969	20.144	20.407	 11131	163.308673	-00.426038
163.349053	+06.493418	wd	DA_auto     	          	J105323.77+062936.3	    5.0	299.4	19.697	19.242	19.183	19.163	19.311	  8223	163.349053	+06.493418
163.352450	+61.380049	wd	DA_auto     	          	J105324.58+612248.1	   62.5	225.0	18.595	18.393	18.655	18.932	19.218	 16733	163.352450	+61.380049
163.367242	+50.865320	wd	DA_auto     	          	J105328.13+505155.1	   24.9	172.9	20.144	19.866	19.865	19.911	20.263	  9195	163.367242	+50.865320
163.369581	+06.811574	wd	DA_auto     	          	J105328.69+064841.6	   54.0	293.5	19.352	19.186	19.510	19.798	20.104	 18653	163.369581	+06.811574
163.385922	+02.023947	wd	DA          	          	J105332.62+020126.2	   63.7	170.6	19.747	19.195	19.096	19.062	19.056	  7530	163.385922	+02.023947
163.396465	+65.700321	wd	DA          	1050+659  	J105335.15+654201.1	    4.1	142.3	20.548	20.181	20.183	20.268	20.603	  9048	163.396465	+65.700321
163.442249	+02.797246	wd	DA_auto     	          	J105346.13+024750.0	  121.9	281.5	19.828	19.334	19.413	19.590	19.721	 10326	163.442249	+02.797246
163.474560	+52.008611	wd	DA          	          	J105353.89+520031.0	   41.0	221.0	19.343	18.928	19.271	19.496	19.916	 15399	163.474560	+52.008611
163.499426	+42.586705	wd	DA_auto     	          	J105359.86+423512.1	       	     	18.380	18.001	18.130	18.298	18.495	 11004	163.499426	+42.586705
163.503746	+03.336378	wd	DA_auto     	          	J105400.89+032010.9	    4.1	247.6	19.187	18.671	18.930	19.106	19.292	 14137	163.503746	+03.336378
163.518296	+59.559298	wd	DA_H:       	          	J105404.39+593333.4	   62.9	243.7	20.630	20.251	20.277	20.451	20.393	 10165	163.518296	+59.559298
163.524023	-01.192537	wd	DA          	1051-009  	J105405.76-011133.1	       	     	19.639	19.265	19.438	19.610	19.913	 12060	163.524023	-01.192537
163.543784	+45.548902	wd	DA_auto     	          	J105410.50+453256.0	   32.5	104.4	19.967	19.708	20.035	20.341	20.541	 16102	163.543784	+45.548902
163.560920	+54.397111	wd	DA_auto     	          	J105414.62+542349.5	   21.7	166.1	18.531	18.810	19.321	19.626	19.716	 34663	163.560920	+54.397111
163.591555	+51.381721	wd	DA+M        	1051+516  	J105421.97+512254.1	   17.4	237.4	17.252	16.785	16.139	15.283	14.762	  6300	163.591555	+51.381721
163.595562	+42.547099	wd	DA_auto     	          	J105422.93+423249.5	   22.6	238.2	19.030	19.002	19.295	19.660	19.976	 21401	163.595562	+42.547099
163.623309	+53.974853	wd	DA_auto     	          	J105429.59+535829.4	   15.5	179.0	18.580	18.806	19.359	19.680	20.026	 33355	163.623309	+53.974853
163.653396	+42.804866	wd	DA_auto     	          	J105436.81+424817.5	   14.3	348.6	19.223	18.808	19.056	19.291	19.728	 13508	163.653396	+42.804866
163.681048	+04.489906	wd	DB          	          	J105443.45+042923.6	   32.4	 78.6	18.283	18.393	18.674	18.911	19.208	 16930	163.681048	+04.489906
163.688171	+01.590420	wd	DA_auto     	          	J105445.16+013525.5	    2.5	205.5	18.199	18.529	19.012	19.310	19.724	 40645	163.688171	+01.590420
163.694776	+48.987084	wd	DA_auto     	          	J105446.74+485913.5	   16.7	 47.6	17.943	17.946	18.331	18.637	19.004	 21980	163.694776	+48.987084
163.707797	+53.133088	wd	DA_auto     	1051+533.2	J105449.87+530759.1	  118.3	251.1	18.373	17.922	18.078	18.246	18.437	 11118	163.707797	+53.133088
163.721974	+49.575175	wd	DA_auto     	          	J105453.27+493430.6	   20.8	 81.0	18.601	18.132	18.261	18.440	18.746	 11141	163.721974	+49.575175
163.750297	+03.820514	wd	DA_auto     	          	J105500.07+034913.8	   13.4	303.4	19.792	19.481	19.775	20.066	20.212	 14643	163.750297	+03.820514
163.783597	+57.271878	wd	DA_auto     	          	J105508.06+571618.7	   11.5	149.3	19.166	19.054	19.379	19.719	20.028	 18455	163.783597	+57.271878
163.835657	+03.602800	wd	DA_auto     	          	J105520.55+033610.0	   27.4	134.6	19.157	19.110	19.457	19.733	19.950	 20152	163.835657	+03.602800
163.836658	+52.695195	wd	DA_auto     	          	J105520.79+524142.7	   69.0	173.2	18.336	17.958	17.950	18.050	18.163	  9129	163.836658	+52.695195
163.865466	+04.886094	wd	DA_auto     	          	J105527.71+045309.9	   16.4	233.9	19.969	19.588	19.845	20.039	20.370	 13725	163.865466	+04.886094
163.902129	+04.055935	wd	DC          	          	J105536.51+040321.3	  113.2	170.6	19.542	18.956	18.751	18.704	18.694	  6655	163.902129	+04.055935
163.952144	+04.701928	wd	DA+M        	          	J105548.51+044206.9	   14.1	253.1	20.249	19.752	19.545	18.950	18.428	  6306	163.952144	+04.701928
163.972546	+03.690962	wd	DA_auto     	          	J105553.41+034127.4	   22.6	208.2	19.305	18.872	18.908	18.961	19.130	  9931	163.972546	+03.690962
163.980165	+48.794401	wd	DA_auto     	          	J105555.23+484739.8	   17.2	263.2	16.351	16.825	17.338	17.700	18.021	 77778	163.980165	+48.794401
163.994952	+02.104249	wd	DA_auto     	          	J105558.78+020615.2	   12.9	239.0	20.401	19.998	20.073	20.283	20.167	 10995	163.994952	+02.104249
164.006263	+01.473572	wd	DZA         	          	J105601.50+012824.8	   77.4	239.6	17.733	17.512	17.785	17.928	18.157	 11079	164.006263	+01.473572
164.010073	+03.719516	wd	DA_auto     	          	J105602.41+034310.2	   12.5	169.3	19.947	19.538	19.779	19.968	20.199	 13330	164.010073	+03.719516
164.033654	+05.083044	wd	DA_auto     	          	J105608.07+050458.9	    1.9	315.4	18.336	18.694	19.182	19.499	19.763	 44800	164.033654	+05.083044
164.034871	+54.094191	wd	DA_auto     	          	J105608.36+540539.0	   54.9	240.4	19.326	18.736	18.835	18.959	19.229	  9884	164.034871	+54.094191
164.045922	+65.608762	wd	DA          	1052+658  	J105611.02+653631.5	    7.8	179.0	19.943	19.772	20.164	20.393	20.567	 20112	164.045922	+65.608762
164.051324	-00.106051	wd	DA          	          	J105612.31-000621.7	  618.8	164.9	18.059	17.516	17.722	17.888	18.085	 11016	164.051324	-00.106051
164.070414	-00.080418	wd	DZ          	          	J105616.89-000449.5	   12.6	172.4	19.792	19.737	19.890	20.127	20.303	 12395	164.070414	-00.080418
164.072980	+50.889220	wd	DA+M        	          	J105617.51+505321.1	   17.4	174.0	18.891	18.605	18.877	18.759	18.338	 10026	164.072980	+50.889220
164.087209	+06.746088	wd	DC:         	          	J105620.93+064445.9	   52.7	116.1	18.838	18.417	18.331	18.350	18.470	 10084	164.087209	+06.746088
164.087831	+03.746903	wd	DA_auto     	          	J105621.07+034448.8	   13.5	209.4	19.431	18.929	18.983	19.079	19.230	  9817	164.087831	+03.746903
164.134199	-00.178150	wd	DC          	          	J105632.20-001041.3	   25.8	118.5	18.753	18.564	18.612	18.746	18.967	 10204	164.134199	-00.178150
164.138147	+61.541756	wd	DA_auto     	          	J105633.15+613230.3	  129.2	165.8	18.968	18.579	18.476	18.445	18.491	  8425	164.138147	+61.541756
164.173828	+57.246928	wd	DZ          	          	J105641.71+571448.9	  134.7	179.5	18.692	18.338	18.250	18.268	18.369	 10086	164.173828	+57.246928
164.201808	+55.703795	wd	DA_auto     	          	J105648.43+554213.6	   23.4	 97.5	19.409	19.022	19.006	19.067	19.236	  9372	164.201808	+55.703795
164.243004	+57.997647	wd	DA_auto     	          	J105658.32+575951.5	    6.4	300.7	20.044	19.884	20.227	20.497	20.894	 17278	164.243004	+57.997647
164.290789	+02.610511	wd	DA_auto     	          	J105709.78+023637.8	  128.6	122.5	18.816	18.426	18.376	18.381	18.550	  8403	164.290789	+02.610511
164.290901	+04.191777	wd	DA_auto     	          	J105709.81+041130.3	  383.3	266.5	18.090	17.703	17.600	17.604	17.708	  7807	164.290901	+04.191777
164.291405	+11.974862	wd	DA_auto     	          	J105709.93+115829.5	   79.7	249.9	18.388	17.944	17.943	18.027	18.090	  8519	164.291405	+11.974862
164.294028	+59.388501	wd	DA_auto     	          	J105710.56+592318.6	   52.5	253.9	19.470	19.137	19.005	18.965	19.106	  7903	164.294028	+59.388501
164.308870	+54.250650	wd	DA_auto     	          	J105714.12+541502.3	  110.4	267.3	18.897	18.425	18.335	18.384	18.421	  8186	164.308870	+54.250650
164.344780	+04.974294	wd	DA_auto     	          	J105722.74+045827.4	   31.5	186.8	20.090	19.646	19.887	20.094	20.240	 13077	164.344780	+04.974294
164.360873	+43.351988	wd	DA_auto     	          	J105726.60+432107.1	   67.7	220.4	16.165	16.294	16.699	16.996	17.295	 26809	164.360873	+43.351988
164.365909	+00.355170	wd	DA          	1054+006  	J105727.81+002118.6	  330.4	348.8	19.105	18.687	18.788	18.899	19.078	 10705	164.365909	+00.355170
164.412830	+03.435205	wd	DA_auto     	          	J105739.07+032606.7	    2.7	308.5	19.666	19.282	19.530	19.745	20.036	 13404	164.412830	+03.435205
164.427439	+52.802377	wd	DA_auto     	          	J105742.58+524808.5	   16.9	310.8	20.373	20.070	20.384	20.695	20.555	 16525	164.427439	+52.802377
164.463560	+60.388570	wd	DA          	          	J105751.25+602318.8	    8.2	179.2	18.277	18.651	19.153	19.543	19.838	 44960	164.463560	+60.388570
164.464505	+52.096551	wd	DA_auto     	          	J105751.48+520547.5	   31.8	267.9	20.071	19.938	20.260	20.575	20.749	 18195	164.464505	+52.096551
164.467487	+62.217080	wd	DB          	          	J105752.19+621301.4	    6.0	 21.1	20.144	20.317	20.566	20.860	20.799	 17067	164.467487	+62.217080
164.490751	+60.063921	wd	DA_auto     	          	J105757.78+600350.1	   20.0	235.3	19.928	19.409	19.444	19.517	19.711	  9957	164.490751	+60.063921
164.571459	+50.763007	wd	DA_auto     	          	J105817.15+504546.8	   62.9	191.8	19.673	19.800	20.210	20.505	20.586	 24791	164.571459	+50.763007
164.578456	+51.902457	wd	DA          	          	J105818.82+515408.8	   10.4	165.4	18.775	18.652	18.937	19.208	19.353	 18940	164.578456	+51.902457
164.600357	+05.905086	wd	DA_auto     	          	J105824.08+055418.3	    3.5	276.4	19.905	19.399	19.169	19.022	19.089	  7389	164.600357	+05.905086
164.601421	+51.460761	wd	DA_auto     	          	J105824.34+512738.7	   36.6	214.7	18.731	18.369	18.548	18.771	18.984	 12834	164.601421	+51.460761
164.621866	+65.874201	wd	DB          	1055+661  	J105829.24+655227.1	    9.1	179.9	18.895	18.938	19.188	19.384	19.285	 16082	164.621866	+65.874201
164.621958	+61.278234	wd	DA_auto     	          	J105829.27+611641.6	   19.8	231.9	19.031	18.988	19.355	19.662	20.113	 20913	164.621958	+61.278234
164.666993	-00.084158	wd	DA          	          	J105840.07-000502.9	       	     	20.492	20.345	20.496	20.695	20.562	 14685	164.666993	-00.084158
164.698890	+65.655926	wd	DA          	1055+659  	J105847.73+653921.3	    3.6	107.5	20.270	20.129	20.432	20.657	21.102	 19866	164.698890	+65.655926
164.704763	+09.963881	wd	DA_auto     	          	J105849.14+095749.9	   19.6	191.4	18.559	18.131	18.212	18.325	18.462	  9683	164.704763	+09.963881
164.712755	+40.613759	wd	DA_auto     	          	J105851.06+403649.5	   14.6	176.7	19.957	19.782	20.133	20.417	20.233	 18591	164.712755	+40.613759
164.723302	+00.935705	wd	DA+M:       	1056+012  	J105853.59+005608.5	   46.4	163.6	19.121	18.941	18.590	18.234	17.933	  7024	164.723302	+00.935705
164.723772	+60.693576	wd	DZ          	          	J105853.70+604136.8	   14.1	210.9	20.452	20.154	20.252	20.394	20.399	 10330	164.723772	+60.693576
164.743411	+54.567973	wd	DA_auto     	          	J105858.41+543404.7	   69.6	190.5	19.860	19.456	19.626	19.866	20.021	 13010	164.743411	+54.567973
164.818445	+51.411994	wd	DA_auto     	1056+516  	J105916.42+512443.1	    9.3	129.9	15.990	16.498	16.978	17.342	17.688	 74446	164.818445	+51.411994
164.849914	+50.525485	wd	DA_auto     	          	J105923.97+503131.7	  113.3	196.1	19.496	19.227	19.134	19.208	19.373	  9187	164.849914	+50.525485
164.873335	+55.677568	wd	DB_A:       	          	J105929.60+554039.2	   17.7	269.6	18.458	18.472	18.819	19.098	19.379	 24877	164.873335	+55.677568
164.880114	+60.348830	wd	DA          	          	J105931.22+602055.7	   15.0	273.8	20.522	20.152	20.299	20.511	20.762	 11538	164.880114	+60.348830
164.931863	+61.853418	wd	DA_auto     	          	J105943.64+615112.3	    8.0	200.4	19.349	19.006	19.225	19.546	19.701	 13930	164.931863	+61.853418
165.021091	+60.391920	wd	DA          	          	J110005.06+602330.9	  124.7	201.2	17.781	17.769	18.106	18.370	18.628	 18701	165.021091	+60.391920
165.065211	+01.127922	wd	DA          	1057+013  	J110015.65+010740.5	   53.5	323.9	19.253	18.860	19.098	19.356	19.630	 13480	165.065211	+01.127922
165.119751	+60.449808	wd	DA_auto     	          	J110028.74+602659.3	    6.7	123.9	20.150	19.912	20.222	20.493	21.273	 16508	165.119751	+60.449808
165.125890	+55.377224	wd	DB:         	          	J110030.21+552238.0	   56.5	219.0	18.201	18.157	18.373	18.543	18.822	 12547	165.125890	+55.377224
165.184940	+48.384125	wd	DA_auto     	          	J110044.38+482302.8	  151.3	206.3	17.988	17.432	17.291	17.272	17.258	  7795	165.184940	+48.384125
165.196918	+40.734983	wd	DA_auto     	          	J110047.26+404405.9	       	     	20.379	20.142	20.422	20.643	20.641	 15493	165.196918	+40.734983
165.219318	+07.592948	wd	DA+M        	          	J110052.63+073534.6	  203.6	 84.3	18.412	18.384	18.677	18.479	18.222	 19392	165.219318	+07.592948
165.237677	+46.583236	wd	DA_auto     	          	J110057.04+463459.6	   16.5	278.2	19.257	19.122	19.456	19.764	19.847	 17326	165.237677	+46.583236
165.250487	+67.080133	wd	DA          	1057+673  	J110100.11+670448.4	    2.7	250.9	20.071	20.155	20.444	20.757	20.615	 20715	165.250487	+67.080133
165.259263	-00.092782	wd	DA          	          	J110102.22-000534.0	   19.0	187.3	19.917	19.842	20.080	20.420	20.656	 19459	165.259263	-00.092782
165.332234	+05.253841	wd	DA_auto     	          	J110119.73+051513.8	   34.1	193.6	18.841	18.304	18.467	18.646	18.841	 12383	165.332234	+05.253841
165.383051	+60.051981	wd	DA_auto     	          	J110131.93+600307.1	   14.7	168.3	20.898	20.429	20.305	20.359	20.313	  8106	165.383051	+60.051981
165.386914	+04.225385	wd	DA_auto     	          	J110132.85+041331.3	   24.0	271.3	20.421	20.062	20.144	20.396	20.635	 11190	165.386914	+04.225385
165.458229	+42.003815	wd	DA          	          	J110149.97+420013.7	    4.0	154.2	19.839	19.597	19.776	20.116	20.303	 15208	165.458229	+42.003815
165.463930	+12.378196	wd	DA+M        	          	J110151.34+122241.5	   22.9	 44.1	18.704	18.548	18.738	18.439	18.032	  9318	165.463930	+12.378196
165.571390	+54.331680	wd	DA          	          	J110217.13+541954.0	   30.5	240.1	19.227	19.205	19.518	19.763	19.851	 19048	165.571390	+54.331680
165.582349	+12.214977	wd	DA_auto     	          	J110219.76+121253.9	   16.8	194.4	17.960	17.992	18.376	18.709	19.002	 22321	165.582349	+12.214977
165.589012	+40.580639	wd	DA_auto     	          	J110221.36+403450.3	       	     	20.343	20.043	20.244	20.526	20.708	 13915	165.589012	+40.580639
165.629276	+00.793291	wd	DA          	1059+010  	J110231.02+004735.8	   14.0	183.5	19.167	18.960	19.258	19.558	19.751	 17056	165.629276	+00.793291
165.684391	+03.703001	wd	DA_auto     	          	J110244.25+034210.8	    6.4	114.0	18.647	18.409	18.650	18.868	19.146	 15000	165.684391	+03.703001
165.732151	+61.009625	wd	DA_auto     	          	J110255.71+610034.6	    9.4	120.1	20.224	19.979	20.333	20.507	20.853	 17709	165.732151	+61.009625
165.811393	+07.080798	wd	DA_auto     	          	J110314.73+070450.8	    3.4	197.0	17.142	17.152	17.500	17.823	18.123	 21668	165.811393	+07.080798
165.861291	+00.623861	wd	DA          	1100+008  	J110326.70+003725.8	   50.5	197.0	18.095	17.640	17.809	17.851	18.063	 10537	165.861291	+00.623861
165.866925	+54.206789	wd	DC:         	          	J110328.06+541224.4	   45.8	104.8	19.478	19.427	19.531	19.741	19.833	 11036	165.866925	+54.206789
165.872739	+49.133727	wd	DA_auto     	          	J110329.45+490801.4	   21.6	300.6	19.055	18.672	18.696	18.782	18.935	  9347	165.872739	+49.133727
165.883561	+00.744887	wd	DA          	1100+010  	J110332.05+004441.5	       	     	20.736	20.320	20.480	20.740	20.479	 12017	165.883561	+00.744887
166.083474	-00.607838	wd	DA          	          	J110420.03-003628.2	   43.7	206.9	18.852	18.411	18.694	18.858	19.050	 12512	166.083474	-00.607838
166.108982	+06.275109	wd	DA_auto     	          	J110426.15+061630.3	   47.2	300.1	18.534	18.444	18.833	19.107	19.390	 22940	166.108982	+06.275109
166.159928	+07.191630	wd	DBA:        	          	J110438.38+071129.8	   26.2	201.6	18.236	18.072	18.264	18.439	18.622	 11997	166.159928	+07.191630
166.172056	+65.541237	wd	DC          	1101+658  	J110441.29+653228.4	   51.2	242.1	19.895	19.807	19.929	20.113	20.121	 11669	166.172056	+65.541237
166.274784	+58.517514	wd	DA_auto     	          	J110505.94+583103.0	  118.8	250.3	18.293	17.921	17.935	18.165	18.378	 11308	166.274784	+58.517514
166.291595	+66.966085	wd	DB:         	          	J110509.98+665757.9	    2.8	 58.0	19.685	19.893	20.229	20.557	20.478	 26780	166.291595	+66.966085
166.308550	+08.189683	wd	DA_auto     	          	J110514.05+081122.8	   24.7	103.4	19.945	19.657	19.969	20.191	20.506	 16258	166.308550	+08.189683
166.313831	+00.273927	wd	DA          	1102+005  	J110515.31+001626.1	  205.7	276.9	15.510	15.193	15.392	15.622	15.867	 12844	166.313831	+00.273927
166.455181	+02.731246	wd	DA_auto     	          	J110549.24+024352.4	    8.2	 49.9	18.127	18.482	18.988	19.303	19.773	 52228	166.455181	+02.731246
166.495898	+02.524422	wd	DA_auto     	          	J110559.01+023127.9	   24.8	212.6	18.742	18.331	18.333	18.402	18.490	  9595	166.495898	+02.524422
166.502412	+62.171444	wd	DA_auto     	          	J110600.57+621017.1	  103.6	239.9	17.657	17.315	17.387	17.495	17.685	 10256	166.502412	+62.171444
166.512823	+01.002620	wd	DA          	1103+012  	J110603.07+010009.4	   10.9	180.5	18.980	19.046	19.409	19.668	19.807	 23864	166.512823	+01.002620
166.517510	+01.336230	wd	WD:+M       	          	J110604.20+012010.4	   25.9	243.5	19.494	19.287	18.537	18.013	17.666	  6300	166.517510	+01.336230
166.525357	+50.349571	wd	DA_auto     	          	J110606.08+502058.4	   32.4	 51.1	18.728	18.286	18.484	18.668	18.934	 11870	166.525357	+50.349571
166.568422	+45.315497	wd	DA_auto     	          	J110616.42+451855.7	  112.1	228.0	17.446	16.946	16.853	16.875	16.894	  8046	166.568422	+45.315497
166.597526	+01.255793	wd	DA          	1103+015  	J110623.40+011520.8	   41.0	175.1	18.790	18.389	18.505	18.639	18.809	 10990	166.597526	+01.255793
166.615290	-01.087413	wd	DA+M        	1103-008  	J110627.66-010514.6	    3.7	109.9	16.190	16.409	16.747	16.783	16.603	 31130	166.615290	-01.087413
166.633053	+50.883874	wd	DA_auto     	1103+511  	J110631.93+505301.9	   46.2	123.5	17.213	17.348	17.779	18.152	18.403	 26484	166.633053	+50.883874
166.643299	+07.620049	wd	DA+M        	          	J110634.39+073712.1	   22.4	160.0	16.548	16.878	17.305	17.474	17.334	 37223	166.643299	+07.620049
166.653002	-00.189553	wd	DA          	          	J110636.72-001122.3	   82.4	241.7	18.619	18.313	18.572	18.820	19.059	 14741	166.653002	-00.189553
166.715754	+62.839990	wd	DA_auto     	          	J110651.78+625023.9	   13.8	248.9	17.288	16.891	17.130	17.295	17.507	 11926	166.715754	+62.839990
166.747157	+61.657118	wd	DH:         	          	J110659.31+613925.6	   65.2	171.9	16.501	16.367	16.482	16.618	16.784	 10379	166.747157	+61.657118
166.763838	+07.772450	wd	DC:         	          	J110703.32+074620.8	   34.2	243.6	20.716	20.509	20.626	20.626	20.836	 10355	166.763838	+07.772450
166.798491	+07.646820	wd	DA_auto     	          	J110711.63+073848.5	   20.2	333.7	20.868	20.524	20.874	20.898	21.123	 13662	166.798491	+07.646820
166.897189	+08.990162	wd	DA          	          	J110735.32+085924.5	       	     	18.412	18.424	18.720	19.011	19.343	 18307	166.897189	+08.990162
166.899247	+61.776902	wd	DA_auto     	          	J110735.81+614636.8	   28.8	214.5	20.413	20.012	20.006	19.993	19.970	  8332	166.899247	+61.776902
