#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T22:27:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400fc0536c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:III/235B&tab:{III/235B/catalog}&key:source=III/235B/catalog&HTTPPRM:&&-ref=VIZ5400fc0536c9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=III/235B/catalog
#-order=I
#-out=WD
#-out=RAB1950
#-out=DEB1950
#-out=SpType
#-out=bNote
#-out=Names
#-out=Vmag
#-sort=Vmag
#Vmag=<14
#-out=B-V
#-out=U-B
#-out=Teff
#-out=pm
#-out=pmPA
#WDcat=WDcat
#

#RESOURCE=yCat_3235
#Name: III/235B
#Title: Spectroscopically Identified White Dwarfs (McCook+, 2008)
#Coosys	B1950_1950.000:	eq_FK4 B1950
#Table	III_235B_catalog:
#Name: III/235B/catalog
#Title: Data for the White Dwarfs
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	WD	(a10)	White Dwarf (WD) number (1)	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	?Hours RA, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	?Degrees Dec, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.dec;meta.main]
#Column	SpType	(a9)	Spectral type (definitions in the paper, or in file "\begin{tex}\vFile{III/235B/./preface.tex}{preface.tex}\end{tex}").	[ucd=src.spType]
#Column	bNote	(A1)	[*b?] 'b' if white dwarf is member of binary, '*' indicates a note in file "\begin{tex}\vFile{III/235B/./notes.dat}{notes.dat}\end{tex}"	[ucd=meta.code]
#Column	Names	(a26)	Other names for this star, see table Names	[ucd=meta.id]
#Column	Vmag	(F5.2)	?V or other magnitude (see n_Vmag)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	?U-B color in the UBV system	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Teff	(I3)	?Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	pm	(F7.4)	?Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	?Position angle of proper motion vector	[ucd=pos.pm;pos.posAng]
_RAJ2000	_DEJ2000	WD	RAB1950	DEB1950	SpType	bNote	Names	Vmag	B-V	U-B	Teff	pm	pmPA
        	        	0501-289  	        	        	DO       	 	                          	13.90	-0.348	-1.244	   	       	
        	        	0501-289  	        	        	DO       	 	                          	13.90	-0.350	-1.240	   	       	
078.0236	 -0.6999	0509-007  	05 09 33	-00 45.6	DA       	 	051205-004143RE           	13.90	      	      	   	 0.0950	309.9
078.8482	+32.6845	0512+326  	05 12 08	+32 37.7	DA       	b	051523+324109KW AUR C     	13.90	      	      	   	 0.0430	319.0
204.8050	+12.1416	1336+123  	13 36 45	+12 23.8	DB       	*	133913+120833LP498-026    	13.90	      	      	   	 0.1860	134.0
        	        	1336+123  	        	        	DB3.1    	 	                          	13.90	      	      	   	 0.1760	135.6
228.0242	 -3.0551	1509-028.1	15 09 30	-02 52.0	DA:      	b	             LP622-013    	13.90	      	      	   	 0.1790	244.0
        	        	1611-084  	        	        	         	 	                          	13.90	-0.200	      	   	       	
276.8056	 +4.0608	1824+040  	18 24 45	+04 02.0	DA4      	 	             ROSS 137     	13.90	 0.050	-0.550	   	 0.3700	218.0
        	        	1844-223  	        	        	DA1.6    	 	WD1847-223J               	13.90	      	      	   	       	
        	        	0501-289  	        	        	DO.7     	 	                          	13.91	-0.359	-1.233	   	       	
        	        	0425+168  	        	        	DA2.1    	 	1RXP         2RE          	13.92	      	      	   	       	
121.7154	-66.3002	0806-661  	08 06 24	-66 09.0	DQ5      	*	             LTT 3059     	13.92	 0.050	-0.900	   	 0.4700	128.0
        	        	0429+176  	        	        	DA2      	*	KUV                       	13.93	 0.340	-0.720	   	 0.1500	104.0
        	        	0912+536  	        	        	DBH7.0   	 	                          	13.93	      	      	   	 1.2960	209.9
        	        	0912+536  	        	        	DXP7     	 	                          	13.93	 0.350	-0.480	   	 1.5600	
212.6134	+32.1397	1408+323  	14 08 16	+32 22.7	DA3      	 	             LTT14141     	13.93	-0.100	-0.790	   	 0.2500	180.0
        	        	1819+580  	        	        	DA1.1    	 	WD1820+580J               	13.93	-0.200	      	   	       	
        	        	1824+040  	        	        	DA5      	 	EG125        G021-015A    	13.93	 0.040	-0.450	   	 0.4100	223.0
        	        	1824+040  	        	        	DA4.1    	 	G021-015C                 	13.93	      	      	   	       	
015.8535	 -6.5396	0100-068  	01 00 53	-06 48.3	DB3      	 	             PHL 962      	13.95	-0.120	-0.370	   	 0.2100	166.0
043.6605	 -5.3295	0252-055  	02 52 09	-05 31.9	DA       	b	025439-052002HD 18131B    	13.95	      	      	   	 0.0410	122.4
068.0995	+17.7499	0429+176  	04 29 30	+17 38.7	DA2      	b	043223+174504HZ 09        	13.95	 0.330	-0.690	   	 0.1200	110.0
074.3015	-28.1302	0455-282  	04 55 13	-28 12.4	DA       	*	045712-280748RE           	13.95	-0.220	-1.210	   	       	
        	        	0455-282  	        	        	DA.99    	 	                          	13.95	-0.321	-1.169	   	       	
075.9789	-28.9097	0501-289  	05 01 57	-28 58.7	DOQZ.7   	*	050353-285504EUV          	13.95	-0.260	-1.000	 70	       	
        	        	0752-676  	        	        	         	 	                          	13.95	 0.650	      	   	 2.0410	135.6
        	        	0752-676  	        	        	         	 	                          	13.95	      	      	   	       	
275.1294	+58.0761	1819+580  	18 19 44	+58 03.1	DA1      	 	182030+580440RE           	13.95	-0.279	-1.194	   	       	
015.9599	 +5.0765	0101+048  	01 01 14	+04 48.3	DA6      	 	             EG007        	13.96	 0.310	-0.570	   	 0.4000	 51.8
        	        	0131-163  	        	        	         	 	PHL1043      RE           	13.96	      	      	   	 0.0380	 50.3
        	        	0148+641  	        	        	DA8.3    	 	                          	13.96	      	      	   	       	
189.7075	-49.8264	1236-495  	12 36 06	-49 33.0	DAV      	*	123852-494927LTT 4816     	13.96	 0.180	      	   	 0.5560	257.0
        	        	1236-495  	        	        	DAV3.9   	 	LFT0931      L0327-186    	13.96	 0.180	-0.700	   	 0.5730	257.0
344.6722	+31.5854	2256+313  	22 56 18	+31 19.0	?        	 	225841+313316LP345-027    	13.96	      	      	   	 0.1500	 70.0
186.6593	-66.2127	1223-659  	12 23 48	-65 56.0	DF       	 	             BPM07543     	13.97	 0.400	-0.540	   	 0.1860	182.0
        	        	1408+323  	        	        	DA2.5    	 	                          	13.97	-0.010	-0.760	   	 0.2530	178.6
023.6003	-16.1176	0131-163  	01 31 58	-16 22.4	DA1      	 	013424-160713MCT          	13.98	-0.170	-1.090	   	       	 65.0
        	        	0131-163  	        	        	DA1.1+dMe	b	GD 984       2RE          	13.98	      	      	   	       	
        	        	0346-011  	        	        	         	 	RE                        	13.98	-0.160	-1.160	   	       	
        	        	0455-282  	        	        	DA.78    	 	                          	13.98	      	      	   	       	
225.4828	+30.3807	1459+305  	14 59 50	+30 34.6	DA2      	b	150155+302253PG           	13.98	 0.300	-0.840	   	       	
057.2072	 -0.9729	0346-011  	03 46 17	-01 07.5	DA1      	 	034850-005835GD 050       	13.99	-0.210	-1.220	   	       	170.0
        	        	0346-011  	        	        	         	 	                          	13.99	      	      	   	       	
296.3834	+16.4584	1943+163  	19 43 16	+16 20.4	DA.5     	 	             G142-050     	13.99	-0.030	-0.810	   	 0.2910	187.1
